ks2emss,science_score,humanities_score,languages_score,,,,
1.0,2.29,2.22,4.99,,,,
2.0,2.21,2.02,3.58,,,,
3.0,2.43,2.23,3.51,,,,
4.0,2.72,2.52,3.76,,,,
5.0,2.76,2.61,3.63,,,,
6.0,3.03,2.90,3.79,,,,
7.0,3.12,2.98,3.74,,,,
8.0,3.37,3.27,3.99,,,,
9.0,3.42,3.36,4.03,,,,
10.0,3.64,3.59,4.10,,,,
11.0,3.69,3.65,4.05,,,,
12.0,3.97,3.96,4.27,,,,
13.0,4.09,4.10,4.26,,,,
14.0,4.30,4.34,4.45,,,,
15.0,4.42,4.48,4.45,,,,
16.0,4.72,4.78,4.66,,,,
17.0,4.89,4.95,4.73,,,,
18.0,5.18,5.28,4.97,,,,
19.0,5.35,5.46,5.03,,,,
20.0,5.70,5.82,5.34,,,,
21.0,5.89,6.01,5.45,,,,
22.0,6.22,6.35,5.73,,,,
23.0,6.40,6.52,5.86,,,,
24.0,6.78,6.88,6.21,,,,
25.0,6.95,7.04,6.35,,,,
26.0,7.25,7.31,6.63,,,,
27.0,7.37,7.43,6.76,,,,
28.0,7.73,7.77,7.13,,,,
29.0,7.86,7.87,7.27,,,,
30.0,8.12,8.10,7.56,,,,
31.0,8.22,8.18,7.65,,,,
32.0,8.44,8.38,7.96,,,,
33,8.47,8.40,8.02,,,,
34,8.73,8.64,8.34,,,,
,,,,,,,
,,,,,,,
,,,,,,,
KS2 Prior band,Best 8 including English & mathematics,2,,,,,
,English Baccalaureate - English subject area,3,,,,,
,English Baccalaureate - mathematics subject area,4,,,,,
,English Baccalaureate - science subject area,5,,,,,
,English Baccalaureate - humanities subject area,6,,,,,
,English Baccalaureate - languages subject area,7,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
