ks2emss_grp,sciest,humest,lanest
1,1.78,1.61,4.31
2,1.7,1.43,3.16
3,1.96,1.63,3.11
4,2.12,1.73,3.39
5,2.24,1.89,3.35
6,2.4,1.98,3.31
7,2.54,2.14,3.34
8,2.68,2.28,3.36
9,2.79,2.37,3.34
10,2.91,2.52,3.43
11,3.05,2.64,3.44
12,3.21,2.82,3.49
13,3.37,2.98,3.61
14,3.54,3.14,3.66
15,3.7,3.32,3.72
16,3.88,3.52,3.84
17,4.05,3.73,3.91
18,4.26,4,4.05
19,4.44,4.2,4.18
20,4.67,4.45,4.27
21,4.95,4.76,4.47
22,5.21,5.06,4.62
23,5.49,5.35,4.87
24,5.78,5.65,5.09
25,6.03,5.9,5.28
26,6.33,6.23,5.58
27,6.64,6.52,5.83
28,6.9,6.78,6.08
29,7.18,7,6.34
30,7.44,7.26,6.64
31,7.69,7.49,6.89
32,7.87,7.66,7.1
33,8.12,7.86,7.39
34,8.33,8.08,7.65
,,,
,,,
,,,
KS2 Prior band,Best 8 including English & mathematics,2,
,English Baccalaureate - English subject area,3,
,English Baccalaureate - mathematics subject area,4,
,English Baccalaureate - science subject area,5,
,English Baccalaureate - humanities subject area,6,
,English Baccalaureate - languages subject area,7,
