ks2emss_grp,p8est,p8esteng,p8estmat,p8estebac,p8estopen
1,15.96,3.86,2.39,4.36,5.34
2,16.63,4.18,2.5,4.37,5.58
3,19.01,4.76,3.07,4.99,6.19
4,20.78,5.14,3.45,5.49,6.7
5,22,5.37,3.75,5.86,7.02
6,23.7,5.73,4.16,6.33,7.47
7,25.02,6.02,4.48,6.68,7.84
8,26.42,6.34,4.82,7.05,8.22
9,27.65,6.55,5.13,7.44,8.53
10,29.12,6.81,5.51,7.91,8.88
11,30.24,7.03,5.78,8.2,9.23
12,32.3,7.46,6.24,8.82,9.78
13,33.78,7.73,6.56,9.29,10.19
14,35.46,8.06,6.95,9.81,10.64
15,37.27,8.39,7.31,10.39,11.17
16,38.94,8.72,7.68,10.9,11.65
17,41.02,9.1,8.13,11.59,12.2
18,42.97,9.47,8.52,12.23,12.75
19,45.12,9.85,8.97,12.95,13.35
20,47.45,10.28,9.45,13.74,13.98
21,49.76,10.7,9.93,14.51,14.63
22,52.57,11.17,10.53,15.48,15.39
23,55.3,11.66,11.08,16.38,16.17
24,57.6,12.06,11.56,17.16,16.81
25,60.22,12.5,12.12,18.06,17.54
26,62.86,12.99,12.63,18.91,18.33
27,65.46,13.39,13.2,19.81,19.07
28,68.16,13.82,13.77,20.73,19.83
29,70.6,14.23,14.29,21.53,20.55
30,73.15,14.6,14.9,22.35,21.3
31,75.46,14.95,15.42,23.1,21.99
32,77.26,15.26,15.77,23.69,22.54
33,79.74,15.7,16.26,24.42,23.36
34,82.03,16.14,16.71,25.02,24.15
